1tally      104        nps =   500000000
+                                    Gamma Leakage Spectrum from Sphere in cell=52 (5mm thick Si(Li)), Normal. 
           tally type 4    track length estimate of particle flux.                             
           particle(s): photons  

           this tally is all multiplied by  3.44196E+03
           this tally is modified by   ft  geb

           volumes 
                   cell:      52                                                                                   
                         1.72111E+03
 
 cell  52                                                                                                                              
      energy   
    2.5000E+00   1.40894E-02 0.0014
    2.7500E+00   1.02566E-02 0.0017
    3.0000E+00   8.03617E-03 0.0020
    3.2500E+00   6.33628E-03 0.0023
    3.5000E+00   5.24160E-03 0.0026
    3.7500E+00   4.21537E-03 0.0030
    4.0000E+00   3.33743E-03 0.0034
    4.2500E+00   2.83984E-03 0.0040
    4.5000E+00   2.49079E-03 0.0044
    4.7500E+00   2.10473E-03 0.0048
    5.0000E+00   1.77315E-03 0.0054
    5.5000E+00   2.83160E-03 0.0047
    6.0000E+00   2.10750E-03 0.0057
    6.5000E+00   1.54411E-03 0.0066
    7.0000E+00   1.17122E-03 0.0078
    7.5000E+00   8.86569E-04 0.0093
    8.0000E+00   6.67137E-04 0.0106
    8.5000E+00   5.05230E-04 0.0127
    9.0000E+00   3.81286E-04 0.0145
    9.5000E+00   2.95819E-04 0.0173
    1.0000E+01   2.08996E-04 0.0197
    1.0500E+01   1.56973E-04 0.0234
    1.1000E+01   1.13179E-04 0.0278
    1.2000E+01   1.45463E-04 0.0254
    1.3000E+01   7.70018E-05 0.0346
    1.4000E+01   4.10705E-05 0.0479
    1.5000E+01   2.16259E-05 0.0610
    1.6000E+01   1.28389E-05 0.0825
    1.7000E+01   7.28927E-06 0.1346
    1.8000E+01   3.78793E-06 0.1474
    1.9000E+01   1.94914E-06 0.1472
    2.0000E+01   1.16678E-06 0.2117
      total      9.79280E-01 0.0002


1tally        4        nps =   500000000
+                                   Neutron Leakage Spectra He3 (F4 track-length flux in cell=70)              
           tally type 4    track length estimate of particle flux.                             
           particle(s): neutrons 

           this tally is all multiplied by  5.54177E+03
           this tally is modified by   ft  geb

           volumes 
                   cell:      70                                                                                   
                         1.57102E+00
 
         cell:          70                                                                                         
      energy   
    1.0000E-03   1.05858E-03 0.1805
    1.2000E-03   6.82711E-05 0.7071
    1.5000E-03   2.27322E-04 0.3953
    2.0000E-03   3.57132E-04 0.3303
    2.3000E-03   2.69473E-04 0.3845
    2.5000E-03   3.06236E-04 0.3869
    3.0000E-03   4.68411E-04 0.2914
    4.0000E-03   5.62086E-04 0.2718
    5.0000E-03   7.93161E-04 0.2234
    6.0000E-03   1.01778E-03 0.2068
    7.0000E-03   2.25278E-04 0.4152
    8.0000E-03   2.19645E-04 0.4530
    9.0000E-03   2.22627E-04 0.4129
    1.0000E-02   2.08095E-04 0.4106
    1.1000E-02   1.20152E-04 0.5457
    1.2000E-02   2.02585E-04 0.4521
    1.3000E-02   2.45993E-04 0.3992
    1.4000E-02   9.55420E-05 0.7028
    1.5000E-02   2.54442E-04 0.4104
    1.6000E-02   2.05252E-04 0.4126
    1.7000E-02   1.19042E-04 0.5256
    1.8000E-02   1.17653E-04 0.5875
    1.9000E-02   3.19317E-04 0.3617
    2.0000E-02   4.58673E-04 0.2978
    2.1000E-02   1.73844E-04 0.5024
    2.2000E-02   5.90716E-04 0.2727
    2.3000E-02   1.22374E-03 0.1808
    2.4000E-02   1.99795E-03 0.1456
    2.5000E-02   2.41872E-03 0.1311
    2.6000E-02   1.98714E-03 0.1396
    2.7000E-02   1.42808E-03 0.1711
    2.8000E-02   9.02386E-04 0.2182
    2.9000E-02   3.78125E-04 0.3329
    3.0000E-02   4.60153E-05 1.0000
    3.2000E-02   1.34419E-04 0.5451
    3.4000E-02   2.39703E-04 0.3988
    3.6000E-02   3.02312E-04 0.3562
    3.8000E-02   3.42983E-04 0.3580
    4.0000E-02   6.11726E-04 0.2617
    4.2000E-02   7.52430E-04 0.2257
    4.4000E-02   5.11071E-04 0.2640
    4.6000E-02   6.74985E-04 0.2455
    4.8000E-02   6.61299E-04 0.2473
    5.0000E-02   1.00659E-03 0.2013
    5.2000E-02   7.49368E-04 0.2385
    5.4000E-02   5.66395E-04 0.2793
    5.6000E-02   1.04352E-03 0.2023
    5.8000E-02   7.51445E-04 0.2260
    6.0000E-02   8.89804E-04 0.2110
    6.5000E-02   3.00389E-03 0.1211
    7.0000E-02   4.50436E-03 0.0985
    7.5000E-02   4.34809E-03 0.0990
    8.0000E-02   4.49752E-03 0.0949
    8.5000E-02   4.47889E-03 0.0961
    9.0000E-02   2.66850E-03 0.1265
    9.5000E-02   1.77848E-03 0.1484
    1.0000E-01   2.08448E-03 0.1452
    1.0500E-01   2.71877E-03 0.1251
    1.1000E-01   3.69472E-03 0.1068
    1.1500E-01   3.42800E-03 0.1124
    1.2000E-01   4.54552E-03 0.0955
    1.2500E-01   4.99359E-03 0.0915
    1.3000E-01   5.17172E-03 0.0883
    1.3500E-01   6.31891E-03 0.0818
    1.4000E-01   5.77112E-03 0.0839
    1.4857E-01   7.87336E-03 0.0737
    1.5714E-01   6.04636E-03 0.0836
    1.6571E-01   7.26870E-03 0.0756
    1.7429E-01   1.04457E-02 0.0636
    1.8286E-01   1.09601E-02 0.0624
    1.9143E-01   8.61276E-03 0.0698
    2.0000E-01   6.74148E-03 0.0790
    2.1000E-01   6.42650E-03 0.0812
    2.2000E-01   7.44773E-03 0.0756
    2.3000E-01   7.17004E-03 0.0753
    2.4000E-01   7.46754E-03 0.0751
    2.5000E-01   8.86559E-03 0.0691
    2.6000E-01   8.56378E-03 0.0703
    2.7000E-01   9.89705E-03 0.0655
    2.8000E-01   1.10065E-02 0.0619
    2.9000E-01   1.20656E-02 0.0585
    3.0000E-01   1.26972E-02 0.0573
    3.2000E-01   2.70159E-02 0.0395
    3.4000E-01   2.64728E-02 0.0399
    3.6000E-01   2.57822E-02 0.0407
    3.8000E-01   2.16768E-02 0.0439
    4.0000E-01   1.59349E-02 0.0515
    4.2000E-01   1.06923E-02 0.0625
    4.4000E-01   1.05706E-02 0.0628
    4.6000E-01   1.20768E-02 0.0584
    4.8000E-01   1.28125E-02 0.0576
    5.0000E-01   1.25240E-02 0.0581
    5.5000E-01   3.61518E-02 0.0338
    6.0000E-01   5.03917E-02 0.0290
    6.5000E-01   6.11311E-02 0.0264
    7.0000E-01   5.12900E-02 0.0288
    7.5000E-01   3.57305E-02 0.0346
    8.0000E-01   2.79971E-02 0.0392
    8.5000E-01   2.52849E-02 0.0412
    9.0000E-01   2.51806E-02 0.0411
    9.5000E-01   2.45411E-02 0.0415
    1.0000E+00   2.24582E-02 0.0437
    1.1000E+00   3.52915E-02 0.0346
    1.2000E+00   3.40472E-02 0.0354
    1.3000E+00   2.75015E-02 0.0390
    1.4000E+00   2.42703E-02 0.0419
    1.5000E+00   1.81335E-02 0.0485
    1.6000E+00   1.62996E-02 0.0510
    1.7000E+00   1.54584E-02 0.0528
    1.8000E+00   1.39628E-02 0.0554
    1.9000E+00   1.20824E-02 0.0595
    2.0000E+00   9.53299E-03 0.0674
    2.2500E+00   1.99471E-02 0.0464
    2.5000E+00   1.54517E-02 0.0528
    2.7500E+00   1.15455E-02 0.0606
    3.0000E+00   8.66135E-03 0.0696
    3.2500E+00   7.13968E-03 0.0777
    3.5000E+00   7.12735E-03 0.0786
    3.7500E+00   4.96640E-03 0.0940
    4.0000E+00   3.84222E-03 0.1073
    4.2500E+00   2.88359E-03 0.1212
    4.5000E+00   3.00287E-03 0.1203
    4.7500E+00   2.62361E-03 0.1275
    5.0000E+00   1.89059E-03 0.1506
    5.5000E+00   2.77838E-03 0.1247
    6.0000E+00   1.87499E-03 0.1448
    6.5000E+00   2.11767E-03 0.1420
    7.0000E+00   9.50860E-04 0.2118
    7.5000E+00   7.63986E-04 0.2255
    8.0000E+00   7.66611E-04 0.2358
    8.5000E+00   9.87481E-04 0.2091
    9.0000E+00   2.67335E-04 0.3710
    9.5000E+00   3.22107E-04 0.3744
    1.0000E+01   1.33386E-04 0.5790
    1.0500E+01   9.08852E-05 0.6098
    1.1000E+01   1.37404E-04 0.5775
    1.2000E+01   2.33926E-04 0.4473
    1.3000E+01   9.28516E-05 0.6294
    1.4000E+01   0.00000E+00 0.0000
    1.5000E+01   4.73743E-05 1.0000
    1.6000E+01   0.00000E+00 0.0000
    1.7000E+01   0.00000E+00 0.0000
    1.8000E+01   0.00000E+00 0.0000
    1.9000E+01   0.00000E+00 0.0000
    2.0000E+01   6.80821E-06 1.0000
      total      1.08504E+00 0.0062
