e-low_eV	e-high_eV	Flux	FI/dU
1.16E+07	1.22E+07	7.46E-09	8.27E-04
1.22E+07	1.25E+07	2.66E-09	5.89E-04
1.25E+07	1.28E+07	2.39E-09	5.29E-04
1.28E+07	1.35E+07	3.87E-09	4.29E-04
1.35E+07	1.38E+07	1.39E-09	3.08E-04
1.38E+07	1.42E+07	1.14E-09	2.54E-04
1.42E+07	1.45E+07	9.14E-10	2.03E-04
1.45E+07	1.49E+07	7.81E-10	1.73E-04
1.49E+07	1.57E+07	8.80E-10	9.75E-05
1.57E+07	1.65E+07	6.71E-10	7.43E-05
1.65E+07	1.69E+07	2.21E-10	4.89E-05
1.69E+07	1.73E+07	1.70E-10	3.77E-05
1.73E+07	1.96E+07	6.03E-10	2.68E-05
