,energy low [eV],energy high [eV],particle,surface,nuclide,score,mean,std. dev.
37,35999.998450279236,37999.99877810478,neutron,60,total,current,0.000317,1.022524110011869e-05
38,37999.99877810478,39999.99910593033,neutron,60,total,current,0.00035099999999999997,1.6224124698184076e-05
39,39999.99910593033,41999.999433755875,neutron,60,total,current,0.000342,1.645195023900412e-05
40,41999.999433755875,43999.99976158142,neutron,60,total,current,0.0004359999999999999,1.4772346537440636e-05
41,43999.99976158142,46000.00008940697,neutron,60,total,current,0.0005020000000000001,1.9765289440498022e-05
42,46000.00008940697,48000.00041723251,neutron,60,total,current,0.000475,2.941088233970551e-05
43,48000.00041723251,50000.00074505806,neutron,60,total,current,0.000575,2.1200104821543952e-05
44,50000.00074505806,52000.001072883606,neutron,60,total,current,0.0005510000000000001,2.9793735359411792e-05
45,52000.001072883606,54000.00140070915,neutron,60,total,current,0.00024800000000000007,1.8245242911205252e-05
46,54000.00140070915,56000.0017285347,neutron,60,total,current,0.000476,2.5263060428661832e-05
47,56000.0017285347,57999.998331069946,neutron,60,total,current,0.000501,1.72207884707861e-05
48,57999.998331069946,59999.99865889549,neutron,60,total,current,0.000591,3.8512624192882765e-05
49,59999.99865889549,64999.99761581421,neutron,60,total,current,0.0015230000000000005,2.3619671650740262e-05
50,64999.99761581421,70000.00029802322,neutron,60,total,current,0.0030290000000000004,6.20116476514225e-05
51,70000.00029802322,75000.00298023224,neutron,60,total,current,0.002734,4.858440536267437e-05
52,75000.00298023224,79999.99821186066,neutron,60,total,current,0.00172,3.438345855527469e-05
53,79999.99821186066,85000.00089406967,neutron,60,total,current,0.004999000000000002,7.890148569224128e-05
54,85000.00089406967,90000.00357627869,neutron,60,total,current,0.000657,2.011356645539434e-05
55,90000.00357627869,94999.9988079071,neutron,60,total,current,0.00116,3.580813067198853e-05
56,94999.9988079071,100000.00149011612,neutron,60,total,current,0.0011110000000000002,2.814446857041488e-05
57,100000.00149011612,104999.99672174454,neutron,60,total,current,0.0016290000000000002,3.560430685558455e-05
58,104999.99672174454,109999.99940395355,neutron,60,total,current,0.001826,3.493486001753169e-05
59,109999.99940395355,115000.00208616257,neutron,60,total,current,0.002203,6.636682571553094e-05
