E_low,E_max,Sp/dE,Sp/log(E/e),prompt_n_source
1.22E+06,1.29E+06,3.11E-07,8.99E-01,1.9496E-02
1.29E+06,1.35E+06,3.04E-07,9.23E-01,2.0075E-02
1.35E+06,1.42E+06,2.99E-07,9.55E-01,2.0712E-02
1.42E+06,1.50E+06,2.92E-07,9.82E-01,2.1346E-02
1.50E+06,1.57E+06,2.83E-07,9.99E-01,2.1700E-02
1.57E+06,1.65E+06,2.76E-07,1.02E+00,2.2209E-02
1.65E+06,1.74E+06,2.67E-07,1.04E+00,2.2640E-02
1.74E+06,1.83E+06,2.58E-07,1.06E+00,2.3012E-02
1.83E+06,1.92E+06,2.49E-07,1.07E+00,2.3295E-02
1.92E+06,2.02E+06,2.38E-07,1.08E+00,2.3485E-02
2.02E+06,2.12E+06,2.28E-07,1.09E+00,2.3576E-02
2.12E+06,2.23E+06,2.17E-07,1.09E+00,2.3592E-02
2.23E+06,2.31E+06,2.09E-07,1.09E+00,1.5780E-02
2.31E+06,2.35E+06,2.00E-07,1.07E+00,7.7526E-03
2.35E+06,2.37E+06,2.00E-07,1.08E+00,3.9163E-03
2.37E+06,2.39E+06,2.00E-07,1.09E+00,3.9762E-03
2.39E+06,2.47E+06,1.92E-07,1.07E+00,1.5517E-02
2.47E+06,2.59E+06,1.84E-07,1.07E+00,2.3202E-02
2.59E+06,2.73E+06,1.71E-07,1.05E+00,2.2725E-02
2.73E+06,2.87E+06,1.60E-07,1.03E+00,2.2294E-02
2.87E+06,3.01E+06,1.48E-07,1.00E+00,2.1796E-02
3.01E+06,3.17E+06,1.36E-07,9.68E-01,2.1036E-02
3.17E+06,3.33E+06,1.25E-07,9.35E-01,2.0304E-02
3.33E+06,3.68E+06,1.09E-07,8.75E-01,3.8005E-02
3.68E+06,4.07E+06,8.76E-08,7.80E-01,3.3874E-02
4.07E+06,4.49E+06,6.87E-08,6.76E-01,2.9360E-02
4.49E+06,4.72E+06,5.56E-08,5.89E-01,1.2801E-02
4.72E+06,4.97E+06,4.80E-08,5.35E-01,1.1627E-02
4.97E+06,5.22E+06,4.11E-08,4.82E-01,1.0473E-02
5.22E+06,5.49E+06,3.49E-08,4.30E-01,9.3272E-03
5.49E+06,5.77E+06,2.92E-08,3.79E-01,8.2201E-03
5.77E+06,6.07E+06,2.43E-08,3.31E-01,7.1889E-03
6.07E+06,6.38E+06,2.00E-08,2.86E-01,6.2157E-03
6.38E+06,6.59E+06,1.68E-08,2.51E-01,3.6292E-03
6.59E+06,6.70E+06,1.50E-08,2.30E-01,1.6669E-03
6.70E+06,7.05E+06,1.30E-08,2.06E-01,4.4634E-03
7.05E+06,7.41E+06,1.03E-08,1.72E-01,3.7317E-03
7.41E+06,7.79E+06,8.06E-09,1.41E-01,3.0615E-03
7.79E+06,8.19E+06,6.22E-09,1.14E-01,2.4855E-03
8.19E+06,8.61E+06,4.74E-09,9.17E-02,1.9915E-03
8.61E+06,9.05E+06,3.56E-09,7.23E-02,1.5706E-03
9.05E+06,9.51E+06,2.64E-09,5.64E-02,1.2256E-03
9.51E+06,1.00E+07,1.92E-09,4.32E-02,9.3804E-04
1.00E+07,1.05E+07,1.37E-09,3.24E-02,7.0469E-04
1.05E+07,1.11E+07,9.63E-10,2.39E-02,5.1900E-04
1.11E+07,1.16E+07,6.57E-10,1.72E-02,3.7212E-04
1.16E+07,1.22E+07,4.39E-10,1.20E-02,2.6138E-04
1.22E+07,1.25E+07,3.26E-10,9.29E-03,1.0077E-04
1.25E+07,1.28E+07,2.64E-10,7.71E-03,8.3682E-05
1.28E+07,1.35E+07,1.89E-10,5.73E-03,1.2462E-04
1.35E+07,1.38E+07,1.35E-10,4.25E-03,4.5997E-05
1.38E+07,1.42E+07,1.07E-10,3.46E-03,3.7592E-05
1.42E+07,1.46E+07,8.39E-11,2.77E-03,3.0109E-05
1.46E+07,1.49E+07,6.57E-11,2.23E-03,2.4171E-05
1.49E+07,1.57E+07,4.59E-11,1.62E-03,3.5118E-05
1.57E+07,1.65E+07,2.73E-11,1.01E-03,2.1966E-05
1.65E+07,1.69E+07,1.73E-11,6.64E-04,7.2164E-06
1.69E+07,1.73E+07,1.29E-11,5.09E-04,5.5285E-06
1.73E+07,1.96E+07,8.24E-12,3.50E-04,1.8998E-05
